comment,stars
thấy nhiều người đánh giá nhân viên tính tiền thái độ lòi lõm với khách vậy mà siêu thị cũng không giải quyết ha bữa cũng gặp nhỏ tính tiền thái độ rồi giờ gặp thêm bà nội thái độ nữa siêu thị bự nhiều chuỗi mà không giải quyết mấy vụ này đi đợi mất khách đóng cửa rồi mới sáng mắt hay gì,1
sáng sớm bán đồ tươi ngon,5
rất nhiều sự lựa chọn giá cả hợp lý ngay quận,5
hàng hoá đa dạng nhưng vị trí khá khuất nằm trên trục đường lớn rất dễ chạy xe bị huốt mất chắc vì thế mình thấy khá ít người,4
siêu thị bán đồ rẻ tươi và ngon,5
nhân viên thanh toán thái độ ngay quầy khoảng giờ ngày ban mình chỉ muốn hỏi cách tính điểm như thế nào mà chị thu ngân lại nói đưa cd rồi nói chuyện tiếp thật sự không thích cách nước như vậy và khách hàng mình cũng là khách hàng mua thường xuyên ở đây,1
thu ngân nữ ca g trưa ngày có thái độ làm việc cực kỳ tệ mà nghĩ lại thấy bth siêu thị còn kẹt ở cái thời thì sao mà thái độ phục vụ tốt cho được,1
bảo vệ thái độ đứng ngủ gật gù,1
không gian nhỏ hàng hoá không đa dạng lắm,3
rất tốt cho dân địa phương nhân viên nhiệt tình,5
nhân viên nhiệt tình đồ ăn ngon,5
tốt,5
giá chất lượng tốt nhất cho mọi mặt hàng,5
mua đồ rẻ,4
chỗ để xe miễn phí rỗng rãi bán nhiều mặt hàng nội địa giá tốt coopmart hơi nhỏ nhưng có gà kfc ngon,4
tuyệt vời,5
nhân viên thu ngân có thái độ tiêu cực với khách hàng,1
hinh nhu nhan vien thu ngan quay khong can khach,1
siêu thị lớn ở d họ có mọi thứ bạn cần và hơn thế nữa,5
mọi thứ tốt giá ổn,5
máy lạnh chấp nhận thẻ và hàng hoá giá cả phải chăng,5
thuận tiện mua quà lưu niệm siêu thị lớn,5
được rồi,4
siêu thị lớn với nhiều lựa chọn,4
nếu bạn đang tìm kiếm một số đồ lưu niệm thì đây không phải là lựa chọn tốt nhất tuy nhiên nó vẫn tuyệt vời,5
tôi đã mua cà phê việt nam ở đây và một bộ lọc thông thường để mang về nhà với giá chỉ bằng một nửa so với bất kỳ nơi nào khác,5
nhân viên rất thân thiện và chuyên nghiệp cảm ơn toàn thể đội ngũ,5
vào mua đồ p gửi xe thu không chiếc ô tô xe đã vào ô ngăn nắp vẫn bắt khách đưa chìa khoá quá nhiều sự cô lí,1
ok đấy,5
nhân viên tính tiền tỏ rõ thái độ với khách hàng mình đến mua trả tiền đàng hoàng chứ có phải là không trả đâu nói chung là trải nghiệm rất tệ,1
jollibee coop bình triệu ăn rất ngon,5
co opmart bình triệu là địa điểm mua sắm yêu thích của tôi siêu thị có không gian rộng rãi sạch sẽ và bày trí hợp lý giúp việc tìm kiếm sản phẩm rất dễ dàng các mặt hàng ở đây đa dạng từ thực phẩm tươi sống đồ gia dụng đến các sản phẩm tiêu dùng hàng ngày luôn đảm bảo chất lượng nhân viên thân thiện nhiệt tình và luôn sẵn sàng hỗ trợ khách hàng khi cần đặc biệt các chương trình khuyến mãi và tích điểm rất hấp dẫn giúp tiết kiệm chi phí mua sắm tôi luôn cảm thấy thoải mái khi mua sắm tại đây và chắc chắn sẽ tiếp tục quay lại,5
có rất nhiều món và một số món ăn đặc trưng của việt nam được liệt kê bằng tiếng việt nên tôi không hiểu,4
cửa hàng trung tâm đầy đủ hàng hoá không có hiệu thuốc quần áo và khu ẩm thực nhỏ nhưng đầy đủ trên thang cuốn địa điểm đi bộ hỗn loạn trên những con phố đông đúc một trải nghiệm địa phương thực sự,4
đi đi đi,5
siêu thị mà tôi khuyên bạn nên đến để mua sắm vì nó rẻ hơn nhiều so với eleven hoặc các cửa hàng nhỏ khác cùng loại,5
chuỗi cửa hàng tạp hoá lớn nhất sài gòn cửa hàng đặc biệt này có khá nhiều mặt hàng mà tôi chưa từng thấy ở các cửa hàng khác của họ,4
nhân viên từ chối tính tiền vì tôi chỉ có một món và hướng dẫn tôi đến làn món trở xuống nhưng dòng đó dài hơn nhiều vấn đề là gì,1
rất đông vì khu vực bệnh viện,5
lựa chọn lớn trong cửa hàng bạn có thể làm dịu cơn khát của mình ở tầng trên,4
co opmart này không phải là lớn nhất hay hiện đại nhất nhưng nó có mọi thứ bạn cần cho nhu cầu thiết yếu hàng ngày từ sản phẩm tươi sống đến đồ gia dụng đều được dự trữ đầy đủ và hiệu qủa điều làm cho địa điểm này nổi bật là nó luôn đông đúc và có vẻ như đây là một trong những địa điểm nổi tiếng nhất đối với người dân địa phương giá cả hợp lý và có nhiều lựa chọn chắc chắn nhưng sẽ có rất đông người hàng dài người xếp hàng thanh toán và một chút hỗn loạn có tổ chức nếu bạn đang tìm kiếm sự tiện lợi và giá cả phải chăng hơn là sự sang trọng thì đây là nơi nên đến,5
siêu thị địa phương lớn đỗ xe máy là không một số mặt hàng rẻ hơn so với các siêu thị khác tầng trên là khu ẩm thực và quần áo,4
nhân viên phục vụ chuyên nghiệp đồ ăn ngon,5
dịch vụ gửi xe rất tệ sáng hôm nay mình gửi xe trong siêu thị vừa chạy xe vào trong thì phát hiện quên bóp tiền ở nhà nên mình quay xe ra người giữ xe thu phí không mình mới nói là để quên ví ở nhà xin được chuyển khoản không cho anh để anh khấu trừ giúp phí gửi xe vậy mà anh ấy nhất định là không chịu và đòi bằng được không gửi xe và cho là không giúp gì được cho mình lúc đó thật sự là không biết làm sao luôn mình phải gọi người nhà đem tiền lẻ lên để trả phí gửi có cần phải làm khó với nhau vậy không là con người với nhau mà có không cũng quy trình vậy sao làm vậy không sợ nghiệp trả ah có nhiều cách giải quyết sao không linh động được có dám chắc rằng sau này mình không quên gì khi ra đường không cảm thấy cách cư xử rất khốn nạn mình mua hàng ở đây rất nhiều vì mình có cs kinh doanh trường học từ rày trở đi sẽ không bao giờ mua hàng ở đây nữa,1
nhân viên bảo vệ nói hơi nặng lời với trẻ em mong qủan lý sử lý một chút,4
có khu vui chơi cho bé sạch sẽ,5
siêu thị khá vắng ít đồ để lựa chon,4
có,1
sv đẹp,5
thân thiện và mua một bữa ăn nhẹ và các loại hạt tiếc là không có thạch nhưng bạn có thể thanh toán bằng thẻ tín dụng,5
trên tầng hai có quần áo hàng dệt và khăn trải giường mọi thứ khác đều đến trước giá cả có thể so sánh với các cửa hàng khác lựa chọn tương đối lớn các loại rượu vang rượu sâm banh và đồ uống mạnh khác và bia tất nhiên,5
tại các siêu thị dân dụng sản phẩm có giá rẻ hơn nhiều sản phẩm được giảm giá hoặc mua tặng,5
quần áo để lộn xộn giá gây khó khăn cho khách hàng,1
nơi đây là một trong những địa chỉ mua sắm quen thuộc của người dân địa phương với tầm giá không quá mắc nhằm phục vụ cho phân khúc khách hàng phổ thông diện tích của siêu thị khá bé nếu bạn vô tình ghé siêu thị vào giờ cao điểm thì rất là đông khách phải xếp hàng rất lâu để tính tiền các mặt hàng bày bán trong siêu thị cũng khá phong phú chủ yếu phục vụ nhu cầu sinh hoạt của người dân địa phương chứ không có thế mạnh phục vụ cho khách du lịch ở khu vực phố tây gần đó điểm trừ nhân viên do phải phục vụ lượng khách đông nên đa phần không vui vẻ niềm nở như phong cách chuyên nghiệp tuy nhiên khi cần hỏi hay cần giúp đỡ gì thì nhân viên vẫn sẵn sàng giúp đỡ,5
coôp mart cống quỳnh không to lắm nhưng đầy đủ các mặt hàng nhưng vẫn đề vệ sinh khu vực nhà xe và bên ngoài siêu thị rất chán tiền giữ xe còn đắt,4
đó là một siêu thị với rất nhiều loại chắc chắn không phải là rẻ nhất nhưng tiện dụng,4
siêu thị lâu đời nhất nhì sài gòn bên cạnh maximark á giá rẻ hơn aeon mặt hàng đa dạng nhưng siêu thị khá cũ kĩ nhìn không hút mắt bằng lotte aeon emart,5
coop lớn phục vụ khá thân thiện,4
đẳng cấp châu âu của chúng ta là rẻ nhưng không thể nói là có siêu phạm vi buổi tối thì hơi bẩn bừa bộn và hôi thối đồ ăn hư thịt cá nhưng nếu bạn mua nó với giá rẻ thì nó sẽ hoạt động tốt,3
bảo vệ có thái độ không tốt,1
sản phẩm đa dạng nhân viên nhiệt tình thanh toán chạm không cần nhập mật khẩu rườm rà nói chung siêu thị rất ổn sẽ ủng hộ,5
được rồi,5
hàng hoá đa dạng hỗ trợ khách hàng tốt lâu lâu ac chăm sóc khách hàng gọi hỏi thăm sao lâu hông ghé mua sắm hihii,5
mình cũng đi ngang qua thôi,5
ít sản phẩm quá,3
hàng hoá dồi dào giá tốt theo từng kỳ trong tháng phục vụ tốt bãi xe rộng rãi có nơi dừng đỗ xe bánh và bánh riêng biệt luôn mở của xuyên suốt các ngày nghỉ lễ cũng như các ngày tết,4
rất tốt,4
nhân viên giữ xe ở đây thái độ với khách hàng và hay thu tiền không đúng quy định đặc biệt nhân viên giữ xe nữ hay ngồi ở máy quét thẻ xe ra vào rất có thái độ với khách hàng và hay thu tiền không đúng quy định vài lần đầu tui không nói nhưng rất nhìu lần như vậy mong siêu thị xem xét và trấn chỉnh lại thái độ của nhân viên giữ xe nữ đó tôi thấy có rất nhìu complain về nhân viên giữ xe nhưng siêu thị có vẻ không quan tâm đến đừng để việc nhỏ mà mất khách hàng,1
dịch vụ khách hàng siu tốt nhân viên dịch vụ dể thương lắm luôn,5
quá tệ chất lượng ngày càng đi xuống nhân viên thì càng ngày càng chảnh choẹ,1
điểm cho nơi này khi bạn muốn tới mua đồ dùng cá nhân hoặc chợ an toàn thực phẩm tuy vậy bà nội chợ cũng nên lựa những đồ tươi ngon phù hợp với khẩu vị,3
nó rộng rãi và có nhiều đồ vật bạn có thể sử dụng thẻ tín dụng táo rất đa dạng cá được làm lạnh tốt bạn có thể nghĩ rằng chỉ có hai máy tính tiền nhưng nếu bạn đi xa hơn thì có rất nhiều người việt chỉ đi loanh quanh không làm gì cả thật kỳ lạ khi thấy anh đứng yên,4
rất tốt sạch sẽ và đầy đủ hàng,5
bình thường thì cũng đông lắm giá cả thì cũng coi như là ổn ở khu vực trung tâm thành phố,4
nhiều đồ mua có không gian giải trí vv,5
được,4
không gian thoáng nhiều đồ và hàng hoá,5
giá hơi cao so với các siêu thị khác đến hôm nay vẫn thế,4
đây là khu chợ thường xuyên được ghé thăm vì nó nằm gần khách sạn đó là một lựa chọn tốt vì nó có đội ngũ nhân viên thân thiện và nhiều loại sản phẩm,5
rất tốt,5
tốt,5
bị ép,5
quá xịn,5
carrefour phiên bản việt nam,5
thật không may họ không có thứ tôi đang tìm kiếm nhưng nhìn chung họ có đầy đủ các thiết bị gia dụng,4
những bạn nữ nhân viên trẻ mặc áo trắng ở quầy thu ngân tính tiền và rất là thái độ với khách hàng hoá ở đây rất đầy đủ và đa dạng giá cả hợp lí nhưng rất tiếc vì thái độ phục vụ của nhân viên thái độ rõ mình rất tiếc,2
đây không phải là mức giá thấp nhất nhưng chất lượng được đảm bảo tuy nhiên đừng mua rượu sài gòn tôi mua vì giá rẻ mà mùi lại rất khó chịu,5
siêu thị nhỏ nhân viên thân thiện nhiệt tình giá cả phải chaeng,4
nhân viên gửi xe bắt khách hàng dời xe tới lui khó chịu với khách hàng,1
siêu thị này được cả người dân địa phương và khách du lịch sử dụng các món quà lưu niệm được sắp xếp ngăn nắp dễ nhìn,5
nhân viên là những cô chú lớn tuổi có thâm niên làm việc lâu năm nhưng thái độ rất thiếu chuyên nghiệp lời qua tiếng lại trực tiếp với khách hàng dù trước đó khách hàng đã nhờ trợ giúp rất rất lịch sự cửa hàng thì càng ngày càng xuống cấp,1
bữa nào thèm ăn quán là nghỉ ngay đến kfc vừa nhanh gọn vừa ngon bảo đảm chất lượng mình ăn kfc ở đây gần năm mà hương vị vẫn tuyệt vời như trước,5
ổn,5
siêu thị thoáng mát nhiều đồ giá hợp lý,5
rất thoái mái,5
đã đến,5
mình ghé co opmart br nhìu năm trước nhưng tin tưởng coop mart chung group sẽ luôn vững mạnh tiến bước,5
đó là một siêu thị rất lớn với đủ thứ,3
siêu thị tốt nhất quanh đây,5
mình đã ăn thịt kho trứng cá basa kho đậu hủ dồn thịt và canh chua tại siêu thị coopmart cống quỳnh và nên khuyên mọi người đừng ăn nhé thịt khô cứng mình dùng cả nĩa ghim mà không ghim nổi canh cho thêm lạnh như nước đá ngoài các món khác ăn tầm trung bình bán cũng có tâm một chút thà đừng cho canh thêm mình không cần cá basa kho thì không tươi ăn toàn bột tầng trên của siêu thị coopmart bán đồ ăn đậu dồn thịt thì có mùi,1
nhân viên làm việc kg chuyên nghiệp xếp hàng chờ rút thưởng mà kg biết sắp xếp để hoá đơn theo thứ tự,1
mua thật nhiều quà lưu niệm,5
từng món ăn từ tạp hoá gần trung tâm thành phố và rạp chiếu phim cgv ở tầng thuận tiện quán cà phê highland và phúc ở tầng cũng vậy,5
siêu thị tuyệt vời để mua quà lưu niệm và mua sắm hàng ngày người bảo vệ ở lối vào rất hữu ích và tốt bụng anh ấy đặc biệt đến giúp tôi tìm ra vị trí của siêu thị rất khuyến khích,5
điểm mua sắm phục vụ dân cư quanh khu vực khó có thể tìm chỗ đỗ xe hơi riêng phương tiện xe máy thì bãi đỗ rộng lối vào cũng dễ,4
dịch vụ tốt hàng hoá nhiều,5
rộng rãi thoáng mátôi vị trí ở phíanh trong hẻm đường đi hơi bị chật,3
không gian nhỏ nằm sâu vào phía bên trong khi đi từ quốc lộ vào chỗ quầy tính tiền cũng chỉ có bàn nếu ngày hôm đó đông khách thì khách sẽ xếp hàng khá lâu nói chung tạm được thảo nào người ta chuyển hết qua đi giga mall gần đó chứ ít người đi coop mart này,4
hỗ trợ chậm trễ mất thời gian,1
khá nhiều mặt hàng,5
sao,5
lâu rồi mới ghé coop bình triệu mà thấy vắng quá hình như sau khi xuất hiện giga mall thì ở đây vắng hẳn trước đây đi tầm giờ tối thì tính tiền nườm nượp bây giờ thì vắng hoe luôn có điều mình thích là chỉ có ở đây bán đồ bộ cho người già mình có ghé emart vì nghĩ sthi lớn sẽ có nhưng không có bán loại này cuối cùng cũng quay vể coop mua cho má được mấy bộ,4
hàng hoá đa dạng phong phú tầng trệt có thực phẩm tươi ngon giá rất tốt tầng là khu vực hàng da dụng áo quần mua hàng khá tiện có tích điểm trừ tiền thứ chủ nhật mua hàng trên không được mua thêm hàng khuyến mãi giá ưu đãi có dịch vụ giao hàng tận nhà nhân viên thân thiện bãi giữ xe rộng rãi tiện lợi di chuyển hàng hoá ra xe khá dễ dàng tầng hai bên cạnh jolibee có quầy phục vụ ăn uống,5
ít hàng,3
hiện tại kinh tế đang khó khăn nên khách hàng đến trung tâm thương mại và siêu thị giảm đi rất nhiều nhưng coopmart cống quỳnh vẫn giữ được lượng khách ra vào tấp nập đó là điều rất đáng quý,5
rộng rãi và sạch sẽ tôi nghĩ họ có nhiều món ăn nhưng không có nhiều món ăn kèm,3
dạo này đồ hình như lên giá í ạ nhm cuối năm nhiều khuyến mãi nên cũng ok hơn mua quài mà hong lên được thẻ bạch kim buồn ghê đồ đạc xếp gọn gàng dễ tìm nhân viên nhiệt tình,4
mua sắm ở đây nhiều lần cảm thấy rất hài lòng noel năm nay trang hoàng ngoài cửa nhìn đẹp lắm,5
đó là một siêu thị lớn trong khu phố tôi đến đó để tìm một món quà trả lại nó rộng rãi và có nhiều loại giá tương đương với lotte mart và có dịch vụ giao hàng tận nơi cho người dân bình dân đó là một siêu thị việt nam và rất thân thiện,4
vị trí thuận lợi giá cả hợp lý đa dạng sản phẩm có đồ ăn vặt,4
hàng hoá đa dạng phong phú chương trình khuyến mãi nhiều nhân viên phục vụ tận tình chu đáo,5
gần nhà nên hay đi rộng mát nhiều sản phẩm thấy có người nước ngoài vô nữa,5
mình từ quận qua mua ở đây không phải vì không có chi nhánh mà do tác phong chuyên nghiệp hài lòng,5
quá tệ,1
vệ sinh kém,3
okela hàng xịn nha,5
tối qua mình ghé mua thùng sữa th milk ít đường cho con mình tuổi để sáng nay đem tới lớp uống ban đầu nữ nhân viên chạy ra báo mình là hết hàng lúc sau thì bạn nam chạy ra lúc mình tính tiền báo là còn duy nhất thùng th xong thấy bạn nam lấy băng keo dán lại đầu miệng thùng sữa mình cũng thấy lạ nhưng cứ nghĩ đơn giản là bung keo nên nhân viên dán lại giùm nhưng hỡi ôi lúc về nhà giờ mình mới khui ra thì thấy trong thùng toàn bộ là sữa dalat milk kiểm tra hạn sử dụng thì có lốc hết hạn tháng lốc thì ngày nữa hết hạn thật không thể hiểu nổi rõ ràng sữa bán cho em bé uống mà nhân viên siêu thị lại có thể treo đầu dê bán thịt chó như vậy quá kinh tởm cái siêu thị này cũng chả bao nhiêu tiền để mất thời gian quay lại đôi co với siêu thị này mình nhắn lên đây để mọi người đọc thấy rõ mà né,1
gửi đồ lên lầu gửi cho chắc ăn nhe chứ ở dưới là để tự do như ở nhà có khi còn không có người canh bỏ đồ vào tủ hộ đâu đồ khá đầy đủ có jolibee luôn rất là tiện,4
phục vụ tốt nhất cho khách hàng và lịch sự,4
xa đường cái lớn đi xe buýt phải lội bộ vào,3
rộng rãi thoáng mát,5
mình có mua cây quạt ở đây và xài rất bền,5
nhiều lựa chọn trái cây và rau qủa rất rộng rãi giá cả có vẻ ổn,4
xịn đáng để đi với gia đình,5
không gian lịch sự nhân viên vui vẻ,4
địa điểm thuận tiện rộng rãi hàng hoá phong phú,5
nát lắm rồi khu trò chơi không có gì không vé thối nát quá tệ cho một siêu thị,1
đầy đủ tiện lợi đúng giá,5
siêu thị hơi vắng bãi đỗ xe rộng,5
tốt,4
nhân viên dễ thương lịch sự hàng hoá chất lượng,5
chỉ có tầng trệt chủ yếu phục vụ mua sắm thực phẩm dịch vụ ăn uống vui chơi hạn chế chắc do bị anh go gần đó lấn át rồi nên chả thiết đầu tư,3
thuận tiện cho việc mua sắm,4
vị trí thuận tiện mặt hàng phong phú dịch vụ tốt,4
là một siêu thị lâu đời trên khu vực quận giá cả tại coop mart rất phải chăng mua hàng ở đây thì an tâm về chất lượng,5
không gian mua sắm rộng rồi tiện nghi bố trí hàng hoá dịch vụ theo từng khu vực riêng biệt có chỉ dẫn rõ ràng nhân viên nhiệt tình hướng dẫn và tư vấn điểm trừ là chỗ đậu xe hơi hạn chế,4
đây là siêu thị có nhiều lựa chọn sản phẩm nhất trong khu vực rất thuận tiện để mua đồ tạp hoá quà lưu niệm v v nếu đi bộ bạn sẽ phải băng qua một vòng tròn đông đúc vì vậy hãy cẩn thận với xe máy và ô tô nhưng chuyến đi này rất đáng giá xin vui lòng dừng lại khuyến khích,4
được,4
đây chỉ là công viên đơn thuần không có các tiện ích khác,3
chợ được trang bị rất tốt giá thấp nhiều lựa chọn về thực phẩm quần áo chất lượng tốt và các mặt hàng khác,5
tôi dừng lại đơn giản vì nó ở gần chỗ ở,5
cửa hàng rộng rãi sản phẩm đa dạng nhân viên thân thiện,5
đầy đủ các mặt hàng giá cả ổn áp,5
đường có chương trình khuyến mãi mua pepsi tặng ly mình có ra hỏi nhân viên còn ly kh nhân viên kêu hàng nào có khuyến mãi là đem hàng ra kiu thu ngân thoi là được mình ik vô mua ra tính tiền nhân viên kêu hết ly là hết sao kh giải quyết cho khách mới đầu nói hết ik cũng kh nói là giữ bill bữa sauu bù ly hay gì làm ăn như v à cho vàng mình cg chả qlai nên coii lại nhân viên cũng như cách làm việc cho thương hiệu lớn như v,1
nhà để xe hơi cũ,4
nhân viên thái độ khó chịu khi thanh toán cụ thể mình quét mã thanh toán nhưng không được mình khá ngại và cần hỗ trợ chứ không phải là đứng nghe những lời khó nghe không có sự thân thiện nào,1
đẹp,5
hàng hoá ít không có gì mới mẻ như những siêu thị bây giờ kiểu như hệ thống coop mart đang bị tuột lại phía sau quần áo chắc có từ lúc năm thìn bão lụt nào luôn á chán từ đầu tới cuối,3
không gian thoáng mát,5
ổn,5
chủng loại hàng ít và vắng khách,1
một buổi chiều muộn chủ nhật tôi đi mua sắm ở coopmart trên đường cống quỳnh tôi để ba lô của mình ở khu vực giữ túi an toàn nhưng lấy máy tính bảng ví và chìa khoá ra mua sắm xong tôi lấy ba lô nhưng lại vô tình để quên máy tính bảng ở quầy an ninh tôi đã không nhận ra điều này cho đến sáng hôm sau tôi đã liên hệ với họ cung cấp đầy đủ thông tin chi tiết bao gồm số quầy thanh toán số quầy và số biên nhận trên biên nhận của tôi cơ quan an ninh xác nhận rằng họ đã có nó và tôi có thể lấy lại nó mà không gặp vấn đề gì họ có quy trình rất rõ ràng khi tìm lại món đồ mà khách hàng đánh rơi hoặc bỏ quên họ điền vào một biểu mẫu chi tiết và để lấy lại món đồ đó bạn cần xuất trình giấy tờ tuỳ thân và bằng chứng cho thấy món đồ đó thuộc về bạn xin gửi lời cảm ơn sâu sắc đến anh bảo vệ trực ca đó trần hoài bảo coopmart này đã có từ lâu tôi đã là khách hàng ở đó hơn năm và nó được qủan lý tốt họ đã tiến hành cải tạo và cố gắng tối đa hoá không gian cả trong cửa hàng và khu vực đậu xe,5
có bảng giá gửi xe to rõ ràng đi mãi không thấy chỗ để xe đẩy đâu hết,5
được rồi,5
siêu thị tầng đang tìm sữa chua cuối cùng cũng tìm được ở co op mart cong quynh chúng tôi ở tại cao thắng phường quận hcm sau bữa tối và đi bộ xuống những con đường băng qua đường ngựa vằn việc băng qua đường rất mạo hiểm bất chấp đèn giao thông động cơ hay con người táo bạo hơn chúng tôi rất thích mua sắm sữa chua trái cây không gian rộng rãi để di chuyển một số người bạn đã mua được một số chiếc váy trên tầng hai hàng đợi dài nhưng nhân viên thu ngân rất thân thiện,4
tôi đã mua sắm tại cửa hàng của bạn vào ngày tôi mua một chiếc nồi giá niêm yết là đ và đang được giảm giá mình xác nhận giá với chị phụ trách ở đó rồi mua sản phẩm chị phụ trách cho vào hộp khi nhìn thấy giá ở quầy tính tiền là vnd tôi phản đối tôi đi đến lối đi và kể chuyện đã xảy ra với một người phụ nữ mà tôi được biết là qủan lý cửa hàng cô ấy có thái độ tự mãn và thiếu tôn trọng bắt tôi đợi ở lối đi trong phút rồi đi đến quầy thu ngân với một sản phẩm nhỏ hơn trong tay cô ấy bất kính anh rời bỏ tôi với thái độ không một lời xin lỗi cửa hàng của chúng tôi tôi mạnh mẽ lên án người qủan lý bạn phải nhạy cảm về việc kiểm soát lối đi hầu hết nhân viên của chúng tôi sử dụng điện thoại di động giữa các lối đi tôi hy vọng bạn sẽ đào tạo người qủan lý này người có kỹ năng qủan lý chưa được phát triển đặc biệt là về quan hệ khách hàng,1
nhiều hàng hoá khách đông hơn những chỗ khác,5
rất nhiều sản phẩm giảm giá cửa hàng tạp hoá có tổ chức lựa chọn gần như đầy đủ sẽ quay lại cảm ơn bạn,5
nhân viên nhiệt tình vui vẻ,5
bạn phải kiểm tra các gói hàng khi thanh toán nhân viên thu ngân sẽ đục lỗ hàng hoá và giữ chúng cho riêng mình,1
siêu thị tốt nhất sài gòn,5
hết thời gian khuyến mãi vẫn để bảng khuyến mãi khách hàng không biết mua phải khi phản hồi thì nhân viên thái độ thiếu chuyên nghiệp đang nói chuyện khách hàng nói thì lại cắt ngang bảo em đâu có nói với chị em nói chị kia,1
phục vụ quá kém tính tiền quá lâu toàn nói chuyện không chịu tính tiền,1
